Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,usage,dow
1503960366,12/04/2016,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,high,Tuesday
1503960366,13/04/2016,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.710000038,0,21,19,217,776,1797,high,Wednesday
1503960366,14/04/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,high,Thursday
1503960366,15/04/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,high,Friday
1503960366,16/04/2016,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.039999962,0,36,10,221,773,1863,high,Saturday
1503960366,17/04/2016,9705,6.480000019,6.480000019,0,3.190000057,0.7799999714,2.50999999,0,38,20,164,539,1728,high,Sunday
1503960366,18/04/2016,13019,8.590000153,8.590000153,0,3.25,0.6399999857,4.710000038,0,42,16,233,1149,1921,high,Monday
1503960366,19/04/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,high,Tuesday
1503960366,20/04/2016,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,high,Wednesday
1503960366,21/04/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,high,Thursday
1503960366,22/04/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,high,Friday
1503960366,23/04/2016,14371,9.039999962,9.039999962,0,2.809999943,0.8700000048,5.360000134,0,41,21,262,732,1949,high,Saturday
1503960366,24/04/2016,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,1788,high,Sunday
1503960366,25/04/2016,15355,9.800000191,9.800000191,0,5.289999962,0.5699999928,3.940000057,0,73,14,216,814,2013,high,Monday
1503960366,26/04/2016,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1970,high,Tuesday
1503960366,27/04/2016,18134,12.21000004,12.21000004,0,6.400000095,0.4099999964,5.409999847,0,78,11,243,1108,2159,high,Wednesday
1503960366,28/04/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,high,Thursday
1503960366,29/04/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,high,Friday
1503960366,30/04/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,high,Saturday
1503960366,01/05/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,high,Sunday
1503960366,02/05/2016,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,2004,high,Monday
1503960366,03/05/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,high,Tuesday
1503960366,04/05/2016,11100,7.150000095,7.150000095,0,2.460000038,0.8700000048,3.819999933,0,36,22,203,1179,1819,high,Wednesday
1503960366,05/05/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959,high,Thursday
1503960366,06/05/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,high,Friday
1503960366,07/05/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,high,Saturday
1503960366,08/05/2016,10060,6.579999924,6.579999924,0,3.529999971,0.3199999928,2.730000019,0,44,8,203,574,1740,high,Sunday
1503960366,09/05/2016,12022,7.71999979,7.71999979,0,3.450000048,0.5299999714,3.74000001,0,46,11,206,835,1819,high,Monday
1503960366,10/05/2016,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859,high,Tuesday
1503960366,11/05/2016,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783,high,Wednesday
1503960366,12/05/2016,0,0,0,0,0,0,0,0,0,0,0,1440,0,high,Thursday
1624580081,12/04/2016,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432,high,Tuesday
1624580081,13/04/2016,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411,high,Wednesday
1624580081,14/04/2016,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.009999999776,0,0,236,1204,1572,high,Thursday
1624580081,15/04/2016,1510,0.9800000191,0.9800000191,0,0,0,0.9700000286,0,0,0,96,1344,1344,high,Friday
1624580081,16/04/2016,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463,high,Saturday
1624580081,17/04/2016,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.009999999776,15,22,127,1276,1554,high,Sunday
1624580081,18/04/2016,10536,7.409999847,7.409999847,0,2.150000095,0.6200000048,4.619999886,0.009999999776,17,7,202,1214,1604,high,Monday
1624580081,19/04/2016,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435,high,Tuesday
1624580081,20/04/2016,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446,high,Wednesday
1624580081,21/04/2016,6349,4.130000114,4.130000114,0,0,0,4.110000134,0.01999999955,0,0,186,1254,1467,high,Thursday
1624580081,22/04/2016,4026,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199,1241,1470,high,Friday
1624580081,23/04/2016,8538,5.550000191,5.550000191,0,0,0,5.539999962,0.009999999776,0,0,227,1213,1562,high,Saturday
1624580081,24/04/2016,6076,3.950000048,3.950000048,0,1.149999976,0.9100000262,1.889999986,0,16,18,185,1221,1617,high,Sunday
1624580081,25/04/2016,6497,4.21999979,4.21999979,0,0,0,4.199999809,0.01999999955,0,0,202,1238,1492,high,Monday
1624580081,26/04/2016,2826,1.840000033,1.840000033,0,0,0,1.830000043,0.009999999776,0,0,140,1300,1402,high,Tuesday
1624580081,27/04/2016,8367,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154,1233,1670,high,Wednesday
1624580081,28/04/2016,2759,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115,1320,1401,high,Thursday
1624580081,29/04/2016,2390,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150,1290,1404,high,Friday
1624580081,30/04/2016,6474,4.300000191,4.300000191,0,0.8999999762,1.279999971,2.119999886,0.009999999776,11,23,224,1182,1655,high,Saturday
1624580081,01/05/2016,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.01999999955,186,63,171,1020,2690,high,Sunday
1624580081,02/05/2016,7155,4.929999828,4.929999828,0,0.8600000143,0.5899999738,3.470000029,0,7,6,166,1261,1497,high,Monday
1624580081,03/05/2016,2100,1.370000005,1.370000005,0,0,0,1.340000033,0.01999999955,0,0,96,1344,1334,high,Tuesday
1624580081,04/05/2016,2193,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118,1322,1368,high,Wednesday
1624580081,05/05/2016,2470,1.610000014,1.610000014,0,0,0,1.580000043,0.01999999955,0,0,117,1323,1370,high,Thursday
1624580081,06/05/2016,1727,1.120000005,1.120000005,0,0,0,1.120000005,0.009999999776,0,0,102,1338,1341,high,Friday
1624580081,07/05/2016,2104,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,182,1258,1474,high,Saturday
